category,#,name,keywords,results to check,status,wp-post-slug
company,1,Apple,"Apple history, Apple company profile, Apple market capitalization, Apple annual report, Apple financial statistics, Apple revenue breakdown, Apple growth trends, Apple product sales, Apple service sales, Apple market share, Apple unit sales, Apple upcoming products/services, Apple operation locations, Apple production capacity, Apple service delivery statistics, Apple user/customer demographics, Apple active users/customers, Apple customer behavior, Apple number of employees, Apple employee breakdown, Apple diversity report, Apple environmental impact, Apple carbon footprint, Apple renewable energy usage, Apple sustainability report, Apple stock price, Apple dividend yield, Apple stock performance, Apple comparison with industry peers",8,,apple-statistics
company,2,Microsoft,"Microsoft history, Microsoft company profile, Microsoft market capitalization, Microsoft annual report, Microsoft financial statistics, Microsoft revenue breakdown, Microsoft growth trends, Microsoft product sales, Microsoft service sales, Microsoft market share, Microsoft unit sales, Microsoft upcoming products/services, Microsoft operation locations, Microsoft production capacity, Microsoft service delivery statistics, Microsoft user/customer demographics, Microsoft active users/customers, Microsoft customer behavior, Microsoft number of employees, Microsoft employee breakdown, Microsoft diversity report, Microsoft environmental impact, Microsoft carbon footprint, Microsoft renewable energy usage, Microsoft sustainability report, Microsoft stock price, Microsoft dividend yield, Microsoft stock performance, Microsoft comparison with industry peers",8,,microsoft-statistics
company,3,Saudi Aramco,"Saudi Aramco history, Saudi Aramco company profile, Saudi Aramco market capitalization, Saudi Aramco annual report, Saudi Aramco financial statistics, Saudi Aramco revenue breakdown, Saudi Aramco growth trends, Saudi Aramco product sales, Saudi Aramco service sales, Saudi Aramco market share, Saudi Aramco unit sales, Saudi Aramco upcoming products/services, Saudi Aramco operation locations, Saudi Aramco production capacity, Saudi Aramco service delivery statistics, Saudi Aramco user/customer demographics, Saudi Aramco active users/customers, Saudi Aramco customer behavior, Saudi Aramco number of employees, Saudi Aramco employee breakdown, Saudi Aramco diversity report, Saudi Aramco environmental impact, Saudi Aramco carbon footprint, Saudi Aramco renewable energy usage, Saudi Aramco sustainability report, Saudi Aramco stock price, Saudi Aramco dividend yield, Saudi Aramco stock performance, Saudi Aramco comparison with industry peers",8,,saudi-aramco-statistics
company,4,Alphabet (Google),"Alphabet (Google) history, Alphabet (Google) company profile, Alphabet (Google) market capitalization, Alphabet (Google) annual report, Alphabet (Google) financial statistics, Alphabet (Google) revenue breakdown, Alphabet (Google) growth trends, Alphabet (Google) product sales, Alphabet (Google) service sales, Alphabet (Google) market share, Alphabet (Google) unit sales, Alphabet (Google) upcoming products/services, Alphabet (Google) operation locations, Alphabet (Google) production capacity, Alphabet (Google) service delivery statistics, Alphabet (Google) user/customer demographics, Alphabet (Google) active users/customers, Alphabet (Google) customer behavior, Alphabet (Google) number of employees, Alphabet (Google) employee breakdown, Alphabet (Google) diversity report, Alphabet (Google) environmental impact, Alphabet (Google) carbon footprint, Alphabet (Google) renewable energy usage, Alphabet (Google) sustainability report, Alphabet (Google) stock price, Alphabet (Google) dividend yield, Alphabet (Google) stock performance, Alphabet (Google) comparison with industry peers",10,,alphabet-google-statistics
company,5,Amazon,"Amazon history, Amazon company profile, Amazon market capitalization, Amazon annual report, Amazon financial statistics, Amazon revenue breakdown, Amazon growth trends, Amazon product sales, Amazon service sales, Amazon market share, Amazon unit sales, Amazon upcoming products/services, Amazon operation locations, Amazon production capacity, Amazon service delivery statistics, Amazon user/customer demographics, Amazon active users/customers, Amazon customer behavior, Amazon number of employees, Amazon employee breakdown, Amazon diversity report, Amazon environmental impact, Amazon carbon footprint, Amazon renewable energy usage, Amazon sustainability report, Amazon stock price, Amazon dividend yield, Amazon stock performance, Amazon comparison with industry peers",30,,amazon-statistics
company,6,Berkshire Hathaway,"Berkshire Hathaway history, Berkshire Hathaway company profile, Berkshire Hathaway market capitalization, Berkshire Hathaway annual report, Berkshire Hathaway financial statistics, Berkshire Hathaway revenue breakdown, Berkshire Hathaway growth trends, Berkshire Hathaway product sales, Berkshire Hathaway service sales, Berkshire Hathaway market share, Berkshire Hathaway unit sales, Berkshire Hathaway upcoming products/services, Berkshire Hathaway operation locations, Berkshire Hathaway production capacity, Berkshire Hathaway service delivery statistics, Berkshire Hathaway user/customer demographics, Berkshire Hathaway active users/customers, Berkshire Hathaway customer behavior, Berkshire Hathaway number of employees, Berkshire Hathaway employee breakdown, Berkshire Hathaway diversity report, Berkshire Hathaway environmental impact, Berkshire Hathaway carbon footprint, Berkshire Hathaway renewable energy usage, Berkshire Hathaway sustainability report, Berkshire Hathaway stock price, Berkshire Hathaway dividend yield, Berkshire Hathaway stock performance, Berkshire Hathaway comparison with industry peers",30,,berkshire-hathaway-statistics
company,7,NVIDIA,"NVIDIA history, NVIDIA company profile, NVIDIA market capitalization, NVIDIA annual report, NVIDIA financial statistics, NVIDIA revenue breakdown, NVIDIA growth trends, NVIDIA product sales, NVIDIA service sales, NVIDIA market share, NVIDIA unit sales, NVIDIA upcoming products/services, NVIDIA operation locations, NVIDIA production capacity, NVIDIA service delivery statistics, NVIDIA user/customer demographics, NVIDIA active users/customers, NVIDIA customer behavior, NVIDIA number of employees, NVIDIA employee breakdown, NVIDIA diversity report, NVIDIA environmental impact, NVIDIA carbon footprint, NVIDIA renewable energy usage, NVIDIA sustainability report, NVIDIA stock price, NVIDIA dividend yield, NVIDIA stock performance, NVIDIA comparison with industry peers",30,,nvidia-statistics
company,8,Meta Platforms (Facebook),"Meta Platforms (Facebook) history, Meta Platforms (Facebook) company profile, Meta Platforms (Facebook) market capitalization, Meta Platforms (Facebook) annual report, Meta Platforms (Facebook) financial statistics, Meta Platforms (Facebook) revenue breakdown, Meta Platforms (Facebook) growth trends, Meta Platforms (Facebook) product sales, Meta Platforms (Facebook) service sales, Meta Platforms (Facebook) market share, Meta Platforms (Facebook) unit sales, Meta Platforms (Facebook) upcoming products/services, Meta Platforms (Facebook) operation locations, Meta Platforms (Facebook) production capacity, Meta Platforms (Facebook) service delivery statistics, Meta Platforms (Facebook) user/customer demographics, Meta Platforms (Facebook) active users/customers, Meta Platforms (Facebook) customer behavior, Meta Platforms (Facebook) number of employees, Meta Platforms (Facebook) employee breakdown, Meta Platforms (Facebook) diversity report, Meta Platforms (Facebook) environmental impact, Meta Platforms (Facebook) carbon footprint, Meta Platforms (Facebook) renewable energy usage, Meta Platforms (Facebook) sustainability report, Meta Platforms (Facebook) stock price, Meta Platforms (Facebook) dividend yield, Meta Platforms (Facebook) stock performance, Meta Platforms (Facebook) comparison with industry peers",30,,meta-platforms-facebook-statistics
company,9,Tesla,"Tesla history, Tesla company profile, Tesla market capitalization, Tesla annual report, Tesla financial statistics, Tesla revenue breakdown, Tesla growth trends, Tesla product sales, Tesla service sales, Tesla market share, Tesla unit sales, Tesla upcoming products/services, Tesla operation locations, Tesla production capacity, Tesla service delivery statistics, Tesla user/customer demographics, Tesla active users/customers, Tesla customer behavior, Tesla number of employees, Tesla employee breakdown, Tesla diversity report, Tesla environmental impact, Tesla carbon footprint, Tesla renewable energy usage, Tesla sustainability report, Tesla stock price, Tesla dividend yield, Tesla stock performance, Tesla comparison with industry peers",30,,tesla-statistics
company,10,LVMH,"LVMH history, LVMH company profile, LVMH market capitalization, LVMH annual report, LVMH financial statistics, LVMH revenue breakdown, LVMH growth trends, LVMH product sales, LVMH service sales, LVMH market share, LVMH unit sales, LVMH upcoming products/services, LVMH operation locations, LVMH production capacity, LVMH service delivery statistics, LVMH user/customer demographics, LVMH active users/customers, LVMH customer behavior, LVMH number of employees, LVMH employee breakdown, LVMH diversity report, LVMH environmental impact, LVMH carbon footprint, LVMH renewable energy usage, LVMH sustainability report, LVMH stock price, LVMH dividend yield, LVMH stock performance, LVMH comparison with industry peers",30,,lvmh-statistics
